Status,Subject,Course,Section,CRN,Title,Cred,Meeting Days,Times,Meeting Type,Campus,Location,Instructor,Date,Weeks,Seats,Enrolled,Available,Wait List,Final Exam,Fees
CLOSED,CS,4593,2,36007,AT: Fundamentals of Softwares,3,TR,7:30-8:45pm,Traditional in-person,Main Camp, ,"Sherette, Jonathan L.",01/18-05/11,17,20,0,19,N/A,Thu  May 05  07:00 pm - 08:50 pm  ,$195 
OPEN,CS,4613,1,36510,Senior Design I,3,TR,2:30-3:45pm,Traditional in-person,Main Camp,BB 2.01.10,"Heaps, John S.",01/18-05/11,17,30,6,24,N/A,Thu  May 05  01:00 pm - 02:50 pm  ,$195 
OPEN,CS,4623,1,36511,Senior Design II,3,TR,2:30-3:45pm,Traditional in-person,Main Camp,BB 2.01.10,"Heaps, John S.",01/18-05/11,17,30,1,29,N/A,Thu  May 05  01:00 pm - 02:50 pm  ,$195 
CLOSED,CS,4643,1,35705,Cellular and Mobile Tech,3,TR,6:00-7:15pm,"Online only, at set time",Internet, ,"Ku, Bernard S.",01/18-05/11,17,70,70,0,N/A,Tue  May 10  05:00 pm - 06:50 pm  ,$195 
OPEN,CS,4653,1,36522,Softwr and Malwr Reverse Engin,3,MW,7:30-8:45pm,Traditional in-person,Main Camp,NPB 1.226,"Ortiz, John A.",01/18-05/11,17,50,32,18,N/A,Wed  May 11  07:00 pm - 08:50 pm  ,$195 
OPEN,CS,4673,1,32531,Cyber Operations,3,,,"Online only, no set time",Internet, ,"Rutherford, James R.",01/18-05/11,17,76,74,2,N/A,To be determined by instructor ,$225 
CLOSED,CS,4683,1,32532,Secure Software Dev & Analysis,3,MWF,12:00-12:50pm,Traditional in-person,Main Camp,BB 3.04.06,"Slavin, Rocky L.",01/18-05/11,17,60,65,-5,N/A,Fri  May 06  11:00 am - 12:50 pm  ,$195 
OPEN,CS,4683,2,39789,Secure Software Dev & Analysis,3,MWF,12:00-12:50pm,Traditional in-person,Main Camp,BB 3.04.08,"Heaps, John S.",01/18-05/11,17,71,17,54,N/A,Fri  May 06  11:00 am - 12:50 pm  ,$195 
CANCELED,CS,4713,1,36523,Compiler Construction,3,,,,Internet, ,Staff,01/18-05/11,17,60,0,60,N/A,To be determined by instructor ,$195 
OPEN,CS,4783,1,33759,Advanced Software Engineering,3,MWF,2:00-2:50pm,Traditional in-person,Main Camp,BB 3.01.12,"Valadez, Juan M.",01/18-05/11,17,66,59,7,N/A,Wed  May 11  01:00 pm - 02:50 pm  ,$195 
CANCELED,CS,4833,1,38906,Embedded Systems,3,TBA,TBA,,Main Camp, ,Staff,01/18-05/11,17,30,0,30,N/A,To be determined by instructor ,$195 
OPEN,CS,4843,1,35706,Cloud Computing,3,TR,7:30-8:45pm,Traditional in-person,Main Camp,MH 3.04.08,"Najafirad, Peyman",01/18-05/11,17,60,43,17,N/A,Thu  May 05  07:00 pm - 08:50 pm  ,$195 
OPEN,CS,4853,1,35707,Advanced Systems Programming,3,MW,7:30-8:45pm,Traditional in-person,Main Camp,FLN 2.03.08,"Silvestro, Sam A.",01/18-05/11,17,40,18,22,N/A,Wed  May 11  07:00 pm - 08:50 pm  ,$195 
OPEN,CS,4911,1,33886,Independent Study,1,,,"Online only, no set time",Internet, ,Staff,01/18-05/11,17,60,0,60,N/A,To be determined by instructor ,$65 
OPEN,CS,4911,2,34507,Independent Study,1,,,"Online only, no set time",Internet, ,Staff,01/18-05/11,17,60,0,60,N/A,To be determined by instructor ,$65 
OPEN,CS,4911,3,34508,Independent Study,1,,,"Online only, no set time",Internet, ,Staff,01/18-05/11,17,60,0,60,N/A,To be determined by instructor ,$65 
OPEN,CS,4913,1,21017,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,"Desai, Kevin",01/18-05/11,17,10,2,8,N/A,To be determined by instructor ,$195 
OPEN,CS,4913,2,36449,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,"Najafirad, Peyman",01/18-05/11,17,10,2,8,N/A,To be determined by instructor ,$195 
OPEN,CS,4913,3,21057,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,"Wang, Xiaoyin",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$195 
OPEN,CS,4913,4,36450,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,"Fernandez, Amanda S.",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$195 
OPEN,CS,4913,5,36451,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$195 
OPEN,CS,4913,6,36452,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$195 
OPEN,CS,4913,7,36453,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$195 
OPEN,CS,4913,8,36454,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$195 
OPEN,CS,4913,9,36455,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$195 
OPEN,CS,4913,10,36456,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$195 
CLOSED,CS,4933,1,21139,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,"Valadez, Juan M.",01/18-05/11,17,5,5,0,N/A,To be determined by instructor ,$195 
OPEN,CS,4933,2,21715,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$195 
OPEN,CS,4933,3,21722,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$195 
OPEN,CS,4933,4,21726,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$195 
OPEN,CS,4933,5,22095,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$195 
OPEN,CS,4933,6,23129,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$195 
OPEN,CS,4933,7,36245,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$195 
OPEN,CS,4933,8,36966,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$195 
OPEN,CS,4933,9,36967,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$195 
OPEN,CS,4933,10,36968,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$195 
OPEN,CS,4933,11,36969,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$195 
OPEN,CS,4933,12,36970,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$195 
CANCELED,CS,4973,1,36524,AT-DS: Computer Vision,3,,,,Internet, ,Staff,01/18-05/11,17,40,0,40,N/A,To be determined by instructor ,$195 
CANCELED,CS,4973,2,37577,AT: Brain Inspired AI,3,,,,Internet, ,Staff,01/18-05/11,17,15,0,15,N/A,To be determined by instructor ,$195 
OPEN,CS,4993,1,21087,Honors Research,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$195 
OPEN,CS,4993,2,21571,Honors Research,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$195 
OPEN,CS,4993,3,22097,Honors Research,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$195 
OPEN,CS,4993,4,36975,Honors Research,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$195 
OPEN,CS,4993,5,36976,Honors Research,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$195 
OPEN,CS,5013,1,38850,Fundamentals of Software,3,TR,6:00-7:15pm,Traditional in-person,Main Camp,NPB 1.110,"Sherette, Jonathan L.",01/18-05/11,17,30,8,17,N/A,Tue  May 10  05:00 pm - 06:50 pm  ,$285 
OPEN,CS,5023,1,38851,Fundamentals of Systems,3,TR,7:30-8:45pm,Traditional in-person,Main Camp,NPB 1.110,"Zhu, Dakai",01/18-05/11,17,20,6,14,N/A,Thu  May 05  07:00 pm - 08:50 pm  ,$285 
OPEN,CS,5103,1,31363,Software Engineering,3,TR,4:00-5:15pm,Traditional in-person,Main Camp,BB 3.03.20,"Wang, Xiaoyin",01/18-05/11,17,40,23,17,N/A,Tue  May 10  03:00 pm - 04:50 pm  ,$285 
CLOSED,CS,5113,1,36525,Computer Graphics,3,MW,7:30-8:45pm,Traditional in-person,Main Camp, ,"Jointer, Stanley",01/18-05/11,17,15,0,15,N/A,Wed  May 11  07:00 pm - 08:50 pm  ,$285 
CLOSED,CS,5153,1,34286,User Interfaces and Usability,3,TR,2:30-3:45pm,"Online only, at set time",Internet, ,"Quarles, John P.",01/18-05/11,17,20,20,0,N/A,Thu  May 05  01:00 pm - 02:50 pm  ,$285 
OPEN,CS,5163,1,34509,Data Science,3,MW,4:00-5:15pm,Traditional in-person,Main Camp,BB 2.05.04,"Lu, Qi",01/18-05/11,17,25,7,18,N/A,Mon  May 09  03:00 pm - 04:50 pm  ,$285 
OPEN,CS,5233,1,35698,Artificial Intelligence,3,TR,2:30-3:45pm,Traditional in-person,Main Camp,BB 2.01.18,"Desai, Kevin",01/18-05/11,17,25,23,2,N/A,Thu  May 05  01:00 pm - 02:50 pm  ,$285 
OPEN,CS,5323,1,31396,Principles of Cybersecurity,3,MW,4:00-5:15pm,"Online only, at set time",Internet, ,"White, Gregory B.",01/18-05/11,17,40,19,21,N/A,Mon  May 09  03:00 pm - 04:50 pm  ,$240 
CANCELED,CS,5353,1,36526,Language-Automata-Computation,3,,,,Internet, ,Staff,01/18-05/11,17,20,0,20,N/A,To be determined by instructor ,$240 
OPEN,CS,5363,1,28711,Programming Lang & Compilers,3,TR,7:30-8:45pm,Traditional in-person,Main Camp,MH 3.04.10,"Wang, Xiaoyin",01/18-05/11,17,58,53,5,N/A,Thu  May 05  07:00 pm - 08:50 pm  ,$240 
CANCELED,CS,5463,1,35709,Topics: F. of Systems (Bridge),3,,,,Internet, ,Staff,01/18-05/11,17,40,0,40,N/A,To be determined by instructor ,$285 
CANCELED,CS,5463,2,35710,Topics:F. of Software (Bridge),3,,,,Internet, ,Staff,01/18-05/11,17,40,0,40,N/A,To be determined by instructor ,$285 
CLOSED,CS,5463,3,36527,T: Mal.Rev.Eng,3,MW,7:30-8:45pm,Traditional in-person,Main Camp,NPB 1.226,"Ortiz, John A.",01/18-05/11,17,10,0,10,N/A,Wed  May 11  07:00 pm - 08:50 pm  ,$285 
CANCELED,CS,5483,1,36214,T-DS: Computer Vision,3,,,,Internet, ,Staff,01/18-05/11,17,20,0,20,N/A,To be determined by instructor ,$285 
OPEN,CS,5483,2,36529,T-DS: Deep Learning,3,TR,1:00-2:15pm,Traditional in-person,Main Camp,MH 2.01.32,"Fernandez, Amanda S.",01/18-05/11,17,20,19,1,N/A,Tue  May 10  01:00 pm - 02:50 pm  ,$285 
CANCELED,CS,5483,3,37578, T: Brain Inspired AI,3,,,,Internet, ,Staff,01/18-05/11,17,15,0,15,N/A,To be determined by instructor ,$285 
OPEN,CS,5493,1,37592,Large-Scale Data Management,3,TR,6:00-7:15pm,Traditional in-person,Main Camp,FLN 2.03.12,"Arora, Ritu",01/18-05/11,17,30,17,13,N/A,Tue  May 10  05:00 pm - 06:50 pm  ,$285 
OPEN,CS,5523,1,20251,Operating Systems,3,MW,6:00-7:15pm,Traditional in-person,Main Camp,MH 3.03.16,"Xie, Mimi",01/18-05/11,17,40,26,14,N/A,Mon  May 09  05:00 pm - 06:50 pm  ,$285 
OPEN,CS,5573,1,38852,Cloud Computing,3,,,"Online only, no set time",Internet, ,"Lama, Palden",01/18-05/11,17,30,26,4,N/A,To be determined by instructor ,$285 
CLOSED,CS,5583,1,36530,Kernel Concepts & Programming,3,MW,7:30-8:45pm,Traditional in-person,Main Camp, ,"Silvestro, Sam A.",01/18-05/11,17,20,0,20,N/A,Wed  May 11  07:00 pm - 08:50 pm  ,$285 
OPEN,CS,5633,1,28712,Analysis of Algorithms,3,TR,6:00-7:15pm,Traditional in-person,Main Camp,BB 3.03.20,"Gibson, Matthew R.",01/18-05/11,17,40,22,18,N/A,Tue  May 10  05:00 pm - 06:50 pm  ,$285 
OPEN,CS,5933,1,30887,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$285 
OPEN,CS,5933,2,36982,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$285 
OPEN,CS,5933,3,36983,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$285 
OPEN,CS,5933,4,36984,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$285 
OPEN,CS,5933,5,36986,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$285 
OPEN,CS,5933,6,36989,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$285 
OPEN,CS,5933,7,36991,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$285 
OPEN,CS,5933,8,36992,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$285 
OPEN,CS,5933,9,36994,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$285 
OPEN,CS,5933,10,36995,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$285 
OPEN,CS,5933,11,37148,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$285 
OPEN,CS,5933,12,37149,Internship in Computer Science,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$285 
OPEN,CS,5973,1,20589,Directed Research,3,TBA,TBA,To be arranged,Main Camp, ,"Desai, Kevin",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$285 
OPEN,CS,5973,2,22099,Directed Research,3,TBA,TBA,To be arranged,Main Camp, ,"Lu, Qi",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$285 
OPEN,CS,5973,3,36998,Directed Research,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,5973,4,36999,Directed Research,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,5973,5,37000,Directed Research,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,6373,1,36531,Applied Cryptography,3,,,"Online only, no set time",Internet, ,"Sandhu, Ravi",01/18-05/11,17,20,13,5,N/A,To be determined by instructor ,$285 
CANCELED,CS,6393,2,34287,SecTop: Cyb Sec Found & Pract,3,,,,Internet, ,Staff,01/18-05/11,17,20,0,20,N/A,To be determined by instructor ,$285 
OPEN,CS,6463,1,38854,AT: Trust in AI,3,TR,7:30-8:45pm,"Online only, at set time",Internet, ,"Jha, Sumit K.",01/18-05/11,17,20,8,12,N/A,Thu  May 05  07:00 pm - 08:50 pm  ,$285 
OPEN,CS,6543,1,38855,Networks,3,MW,6:00-7:15pm,Traditional in-person,Main Camp,NPB 1.202,"Boppana, Rajendra V.",01/18-05/11,17,20,6,14,N/A,Mon  May 09  05:00 pm - 06:50 pm  ,$285 
OPEN,CS,6663,1,39475,Adv Parallel Processing & Syst,3,MW,4:00-5:15pm,"Online only, at set time",Internet, ,"Xie, Mimi",01/18-05/11,17,20,6,14,N/A,Mon  May 09  03:00 pm - 04:50 pm  ,
OPEN,CS,6953,1,21018,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,"O'Hara, Steven A.",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$285 
OPEN,CS,6953,2,37005,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,"Slavin, Rocky L.",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$285 
OPEN,CS,6953,3,21025,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,"Wang, Wei",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$285 
OPEN,CS,6953,4,37007,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,"Zhu, Dakai",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$285 
OPEN,CS,6953,5,37008,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,"Najafirad, Peyman",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$285 
OPEN,CS,6953,6,37009,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,6953,7,37010,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,6953,8,21112,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,6953,9,37011,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,6953,10,21362,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,6953,11,21604,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,6953,12,37012,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,6953,13,37013,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,6953,14,37014,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,6953,15,37015,Independent Study,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,6961,1,21089,Comprehensive Examination,1,TBA,TBA,To be arranged,Main Camp, ,"Xie, Mimi",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$95 
OPEN,CS,6961,2,21623,Comprehensive Examination,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,6961,3,37029,Comprehensive Examination,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,6961,4,37030,Comprehensive Examination,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,6961,5,37031,Comprehensive Examination,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,6961,6,37032,Comprehensive Examination,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,6961,7,37033,Comprehensive Examination,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,6961,8,37034,Comprehensive Examination,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,6961,9,37035,Comprehensive Examination,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,6961,10,37036,Comprehensive Examination,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,6981,1,23812,Master's Thesis,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$95 
OPEN,CS,6981,2,37041,Master's Thesis,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$95 
OPEN,CS,6981,3,37043,Master's Thesis,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$95 
OPEN,CS,6981,4,37044,Master's Thesis,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$95 
OPEN,CS,6981,5,37045,Master's Thesis,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,5,0,5,N/A,To be determined by instructor ,$95 
OPEN,CS,6983,1,21034,Master's Thesis,3,TBA,TBA,To be arranged,Main Camp, ,"Najafirad, Peyman",01/18-05/11,17,10,3,7,N/A,To be determined by instructor ,$285 
OPEN,CS,6983,2,21188,Master's Thesis,3,TBA,TBA,To be arranged,Main Camp, ,"Lama, Palden",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$285 
OPEN,CS,6983,3,21753,Master's Thesis,3,TBA,TBA,To be arranged,Main Camp, ,"Xie, Mimi",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$285 
OPEN,CS,6983,4,23080,Master's Thesis,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,6983,5,37058,Master's Thesis,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
