Status,Subject,Course,Section,CRN,Title,Cred,Meeting Days,Times,Meeting Type,Campus,Location,Instructor,Date,Weeks,Seats,Enrolled,Available,Wait List,Final Exam,Fees
OPEN,CS,6983,6,37059,Master's Thesis,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7123,1,27307,Research Methods,3,MW,4:00-5:15pm,Traditional in-person,Main Camp,BB 3.04.04,"Boppana, Rajendra V.",01/18-05/11,17,20,9,11,N/A,Mon  May 09  03:00 pm - 04:50 pm  ,$240 
OPEN,CS,7211,1,23467,Doctoral Research,1,TBA,TBA,To be arranged,Main Camp, ,"Niu, Jianwei",01/18-05/11,17,10,2,8,N/A,To be determined by instructor ,$95 
OPEN,CS,7211,2,23469,Doctoral Research,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,7211,3,23587,Doctoral Research,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,7211,4,23597,Doctoral Research,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,7211,5,37083,Doctoral Research,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,7211,6,37085,Doctoral Research,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,7211,7,37086,Doctoral Research,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,7211,8,37088,Doctoral Research,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,7211,9,37090,Doctoral Research,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,7211,10,37093,Doctoral Research,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,7213,1,20959,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,"Boppana, Rajendra V.",01/18-05/11,17,10,2,8,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,2,20984,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,"Fernandez, Amanda S.",01/18-05/11,17,10,3,7,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,3,37126,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,"Gibson, Matthew R.",01/18-05/11,17,10,3,7,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,4,21031,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,"Jadliwala, Murtuza",01/18-05/11,17,10,3,7,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,5,37128,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,"Jha, Sumit K.",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,6,37129,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,"Korkmaz, Turgay  .",01/18-05/11,17,10,4,6,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,7,37131,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,"Lama, Palden",01/18-05/11,17,10,2,8,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,8,21055,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,"Niu, Jianwei",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,9,21643,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,"Prasad, Sushil",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,10,37138,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,"Quarles, John P.",01/18-05/11,17,5,2,3,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,11,21645,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,"Najafirad, Peyman",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,12,21646,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,"Ruan, Jianhua",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,13,21647,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,"Sandhu, Ravi",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,14,37141,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,"Slavin, Rocky L.",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,15,21649,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,"Wang, Wei",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,16,21650,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,"Wang, Xiaoyin",01/18-05/11,17,10,2,8,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,17,21755,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,"White, Gregory B.",01/18-05/11,17,10,2,8,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,18,21756,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,"Xie, Mimi",01/18-05/11,17,10,3,7,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,19,22069,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,"Zhu, Dakai",01/18-05/11,17,10,3,7,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,20,37142,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,"Desai, Kevin",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,21,37143,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,22,22072,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,23,37144,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,"Najafirad, Peyman",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,24,22173,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,25,37145,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7213,26,37146,Doctoral Research,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7216,1,21189,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,"Boppana, Rajendra V.",01/18-05/11,17,10,3,7,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,2,21190,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,"Fernandez, Amanda S.",01/18-05/11,17,10,2,8,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,3,21328,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,"Gibson, Matthew R.",01/18-05/11,17,10,2,8,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,4,21652,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,"Jadliwala, Murtuza",01/18-05/11,17,10,3,7,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,5,21657,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,"Jha, Sumit K.",01/18-05/11,17,10,2,8,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,6,21658,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,"Korkmaz, Turgay  .",01/18-05/11,17,10,3,7,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,7,21659,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,"Lama, Palden",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,8,21661,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,"Niu, Jianwei",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,9,21662,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,"Prasad, Sushil",01/18-05/11,17,10,4,6,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,10,21757,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,"Quarles, John P.",01/18-05/11,17,10,2,8,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,11,22174,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,"Najafirad, Peyman",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,12,22177,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,"Ruan, Jianhua",01/18-05/11,17,10,2,8,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,13,37243,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,"Sandhu, Ravi",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,14,37244,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,"Slavin, Rocky L.",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,15,37245,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,"Wang, Wei",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,16,37246,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,"Wang, Xiaoyin",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,17,37247,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,"White, Gregory B.",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,18,37248,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,"Xie, Mimi",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,19,37249,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,"Zhu, Dakai",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,20,37250,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,"Desai, Kevin",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,21,37251,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,22,37252,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,23,37253,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,"Najafirad, Peyman",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,24,37254,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,25,37255,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,"Lama, Palden",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$570 
OPEN,CS,7216,26,37256,Doctoral Research,6,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7311,1,22740,Doctoral Dissertation,1,TBA,TBA,To be arranged,Main Camp, ,"Sandhu, Ravi",01/18-05/11,17,10,2,8,N/A,To be determined by instructor ,$95 
OPEN,CS,7311,2,22754,Doctoral Dissertation,1,TBA,TBA,To be arranged,Main Camp, ,"Sandhu, Ravi",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$95 
OPEN,CS,7311,3,22757,Doctoral Dissertation,1,TBA,TBA,To be arranged,Main Camp, ,"Wang, Xiaoyin",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$95 
OPEN,CS,7311,4,22758,Doctoral Dissertation,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$95 
OPEN,CS,7311,5,37257,Doctoral Dissertation,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,7311,6,37260,Doctoral Dissertation,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,7311,7,37261,Doctoral Dissertation,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,7311,8,37262,Doctoral Dissertation,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,7311,9,37263,Doctoral Dissertation,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,7311,10,37265,Doctoral Dissertation,1,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$95 
OPEN,CS,7313,1,20974,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,"Boppana, Rajendra V.",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,2,20981,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,"Fernandez, Amanda S.",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,3,21669,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,"Gibson, Matthew R.",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,4,21670,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,"Jadliwala, Murtuza",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,5,21671,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,"Jha, Sumit K.",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,6,21672,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,7,21674,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,"Korkmaz, Turgay  .",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,8,22280,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,"Niu, Jianwei",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,9,36166,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,"Prasad, Sushil",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,10,37287,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,"Quarles, John P.",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,11,37288,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,"Najafirad, Peyman",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,12,37289,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,"Ruan, Jianhua",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,13,37290,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,"Sandhu, Ravi",01/18-05/11,17,10,2,8,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,14,37291,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,"Slavin, Rocky L.",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,15,37292,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,"Wang, Wei",01/18-05/11,17,10,2,8,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,16,37293,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,17,37294,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,"Wang, Xiaoyin",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,18,37295,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,"Xie, Mimi",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,19,37296,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,"Zhu, Dakai",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,20,37297,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,21,37298,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,22,37299,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,23,37300,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,24,37301,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,25,37302,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7313,26,37304,Doctoral Dissertation,3,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$285 
OPEN,CS,7316,1,21191,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,"Boppana, Rajendra V.",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,2,21678,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,"Fernandez, Amanda S.",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,3,21684,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,"Gibson, Matthew R.",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,4,21685,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,"Jadliwala, Murtuza",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,5,21686,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,"Jha, Sumit K.",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,6,21688,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,7,22182,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,"Korkmaz, Turgay  .",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,8,37305,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,"Niu, Jianwei",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,9,37306,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,"Prasad, Sushil",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,10,37307,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,"Quarles, John P.",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,11,37308,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,"Najafirad, Peyman",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,12,37309,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,"Ruan, Jianhua",01/18-05/11,17,10,1,9,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,13,37311,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,"Sandhu, Ravi",01/18-05/11,17,10,2,8,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,14,37312,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,"Slavin, Rocky L.",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,15,37313,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,"Wang, Wei",01/18-05/11,17,10,3,7,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,16,37314,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,17,37315,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,"Wang, Xiaoyin",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,18,37316,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,"Xie, Mimi",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,19,37317,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,"Zhu, Dakai",01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,20,37318,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,21,37319,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,22,37320,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,23,37321,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,24,37322,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,25,37323,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
OPEN,CS,7316,26,37324,Doctoral Dissertation,6,TBA,TBA,To be arranged,Main Camp, ,Staff,01/18-05/11,17,10,0,10,N/A,To be determined by instructor ,$570 
